model,field,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
anthropic__claude-opus-4-6,collected.detected,20,0.55,0.4589,0.7273,0.2857,0.3636
anthropic__claude-opus-4-6,stored.detected,20,0.4,0.3654,0.5882,0.2222,0.2857
anthropic__claude-opus-4-6,shared.detected,20,0.55,0.5345,0.5882,0.6154,0.4
anthropic__claude-opus-4-6,shared.third_country_sharing,20,0.2,0.1333,0.0,0.4,0.0
anthropic__claude-opus-4-6,retention_policy.deletion,20,0.45,0.458,0.4286,0.5455,0.4
anthropic__claude-opus-4-6,retention_policy.inactivity,20,0.9,0.3158,0.0,0.9474,0.0
anthropic__claude-opus-4-6,data_minimization.adequate,20,0.6,0.5302,0.4,0.7619,0.4286
anthropic__claude-sonnet-4-6,collected.detected,20,0.6,0.5704,0.6667,0.6,0.4444
anthropic__claude-sonnet-4-6,stored.detected,20,0.45,0.4131,0.5556,0.4615,0.2222
anthropic__claude-sonnet-4-6,shared.detected,20,0.6,0.5833,0.5,0.75,0.5
anthropic__claude-sonnet-4-6,shared.third_country_sharing,20,0.4,0.2133,0.0,0.64,0.0
anthropic__claude-sonnet-4-6,retention_policy.deletion,20,0.4,0.3942,0.1667,0.4706,0.5455
anthropic__claude-sonnet-4-6,retention_policy.inactivity,20,0.85,0.3063,0.0,0.9189,0.0
anthropic__claude-sonnet-4-6,data_minimization.adequate,20,0.65,0.3704,0.0,0.8889,0.2222
deepseek__deepseek-r1,collected.detected,20,0.55,0.4872,0.6667,0.4615,0.3333
deepseek__deepseek-r1,stored.detected,20,0.4,0.3102,0.5556,0.375,0.0
deepseek__deepseek-r1,shared.detected,20,0.5,0.3772,0.5,0.6316,0.0
deepseek__deepseek-r1,shared.third_country_sharing,20,0.35,0.1867,0.0,0.56,0.0
deepseek__deepseek-r1,retention_policy.deletion,20,0.4,0.3611,0.3333,0.5,0.25
deepseek__deepseek-r1,retention_policy.inactivity,20,1.0,0.6667,1.0,1.0,0.0
deepseek__deepseek-r1,data_minimization.adequate,20,0.6,0.2759,0.0,0.8276,0.0
deepseek__deepseek-v3-2,collected.detected,20,0.45,0.325,0.6,0.375,0.0
deepseek__deepseek-v3-2,stored.detected,20,0.3,0.251,0.4,0.3529,0.0
deepseek__deepseek-v3-2,shared.detected,20,0.45,0.3333,0.4286,0.5714,0.0
deepseek__deepseek-v3-2,shared.third_country_sharing,20,0.4,0.2051,0.0,0.6154,0.0
deepseek__deepseek-v3-2,retention_policy.deletion,20,0.25,0.1825,0.1667,0.381,0.0
deepseek__deepseek-v3-2,retention_policy.inactivity,20,0.9,0.3158,0.0,0.9474,0.0
deepseek__deepseek-v3-2,data_minimization.adequate,20,0.35,0.1867,0.0,0.56,0.0
google__gemini-3-1-flash-lite-preview,collected.detected,20,0.75,0.6138,0.8889,0.2857,0.6667
google__gemini-3-1-flash-lite-preview,stored.detected,20,0.4,0.3618,0.5556,0.2222,0.3077
google__gemini-3-1-flash-lite-preview,shared.detected,20,0.5,0.3883,0.6316,0.5333,0.0
google__gemini-3-1-flash-lite-preview,shared.third_country_sharing,20,0.3,0.1739,0.0,0.5217,0.0
google__gemini-3-1-flash-lite-preview,retention_policy.deletion,20,0.5,0.4152,0.7,0.5455,0.0
google__gemini-3-1-flash-lite-preview,retention_policy.inactivity,20,0.9,0.3158,0.0,0.9474,0.0
google__gemini-3-1-flash-lite-preview,data_minimization.adequate,20,0.25,0.1952,0.0,0.375,0.2105
google__gemini-3-1-pro-preview,collected.detected,20,0.65,0.6147,0.7273,0.5455,0.5714
google__gemini-3-1-pro-preview,stored.detected,20,0.45,0.3667,0.6,0.5,0.0
google__gemini-3-1-pro-preview,shared.detected,20,0.5,0.402,0.5,0.7059,0.0
google__gemini-3-1-pro-preview,shared.third_country_sharing,20,0.35,0.1944,0.0,0.5833,0.0
google__gemini-3-1-pro-preview,retention_policy.deletion,20,0.55,0.5496,0.5333,0.6154,0.5
google__gemini-3-1-pro-preview,retention_policy.inactivity,20,0.9,0.4815,0.5,0.9444,0.0
google__gemini-3-1-pro-preview,data_minimization.adequate,20,0.7,0.5079,0.6667,0.8571,0.0
openai__gpt-5-4,collected.detected,20,0.55,0.53,0.6,0.5455,0.4444
openai__gpt-5-4,stored.detected,20,0.5,0.4833,0.5882,0.4615,0.4
openai__gpt-5-4,shared.detected,20,0.55,0.4964,0.5333,0.7059,0.25
openai__gpt-5-4,shared.third_country_sharing,20,0.45,0.2308,0.0,0.6923,0.0
openai__gpt-5-4,retention_policy.inactivity,20,0.85,0.3063,0.0,0.9189,0.0
openai__gpt-5-4,data_minimization.adequate,20,0.6,0.3487,0.0,0.8462,0.2
openai__gpt-5-4,retention_policy.deletion,19,0.4211,0.4188,0.3077,0.6154,0.3333
openai__gpt-5-4-mini,collected.detected,20,0.6,0.3776,0.7692,0.3636,0.0
openai__gpt-5-4-mini,stored.detected,20,0.45,0.3399,0.6667,0.3529,0.0
openai__gpt-5-4-mini,shared.detected,20,0.6,0.4205,0.625,0.6364,0.0
openai__gpt-5-4-mini,shared.third_country_sharing,20,0.45,0.2222,0.0,0.6667,0.0
openai__gpt-5-4-mini,retention_policy.deletion,20,0.3,0.21,0.1538,0.4762,0.0
openai__gpt-5-4-mini,retention_policy.inactivity,20,0.9,0.3158,0.0,0.9474,0.0
openai__gpt-5-4-mini,data_minimization.adequate,20,0.6,0.2667,0.0,0.8,0.0
qwen__qwen3-5-397b-a17b,collected.detected,20,0.6,0.5202,0.7273,0.5,0.3333
qwen__qwen3-5-397b-a17b,stored.detected,20,0.4,0.3183,0.5263,0.4286,0.0
qwen__qwen3-5-397b-a17b,shared.detected,20,0.5,0.3791,0.4706,0.6667,0.0
qwen__qwen3-5-397b-a17b,shared.third_country_sharing,20,0.35,0.1944,0.0,0.5833,0.0
qwen__qwen3-5-397b-a17b,retention_policy.deletion,20,0.5,0.5095,0.4286,0.5,0.6
qwen__qwen3-5-397b-a17b,retention_policy.inactivity,20,0.95,0.5465,0.6667,0.973,0.0
qwen__qwen3-5-397b-a17b,data_minimization.adequate,20,0.55,0.5,0.4,0.7,0.4
qwen__qwen3-8b,collected.detected,20,0.3,0.251,0.3529,0.4,0.0
qwen__qwen3-8b,stored.detected,20,0.35,0.268,0.4706,0.3333,0.0
qwen__qwen3-8b,shared.detected,20,0.6,0.4183,0.5882,0.6667,0.0
qwen__qwen3-8b,shared.third_country_sharing,20,0.5,0.3159,0.0,0.64,0.3077
qwen__qwen3-8b,retention_policy.deletion,20,0.3,0.2348,0.0,0.4545,0.25
qwen__qwen3-8b,retention_policy.inactivity,20,0.85,0.3063,0.0,0.9189,0.0
qwen__qwen3-8b,data_minimization.adequate,20,0.5,0.3556,0.4,0.6667,0.0
